station,year,month,precip,t_med,t_min,t_max,spei_1,spei_3,spei_6,spei_12,spei_24,month_sin,month_cos,t_med_anom,t_min_anom,t_max_anom,precip_anom,precip_lag1,precip_lag3,t_med_lag1,t_med_lag3,precip_roll3,drought_class
Baltata,1961,1,36.3,-2.5,-6.9,1.2,0.954799,,,,,0.5,0.866025403784439,0.57,0.1967,0.2333,-0.3067,,,,,36.3,Normal
Baltata,1961,2,51.7,-2.4,-6.1,1.4,1.30162,,,,,0.866025403784439,0.5,-1.39,-1.0067,-1.5533,18.6167,36.3,,-2.5,,44.0,Normal
Baltata,1961,3,17.6,4.6,-1.0,10.1,0.01568,0.995434,,,,1.0,0.0,0.82,0.32,1.24,-12.7,51.7,,-2.4,,35.199999999999996,Normal
Baltata,1961,4,25.3,12.6,7.0,18.7,-0.711743,0.267554,,,,0.866025403784439,-0.5,1.66,2.0033,1.8,-13.1333,17.6,36.3,4.6,-2.5,31.533333333333335,Normal
Baltata,1961,5,22.7,13.6,7.8,20.1,-0.882901,-0.68656,,,,0.5,-0.866025403784439,-2.3567,-2.1367,-1.8867,-24.1167,25.3,51.7,12.6,-2.4,21.86666666666667,Normal
Baltata,1961,6,39.1,17.2,11.6,24.0,-0.918935,-1.094764,-0.070429,,,0.0,-1.0,-2.49,-2.2267,-1.83,-23.6433,22.7,17.6,13.6,4.6,29.03333333333333,Dry
Baltata,1961,7,59.6,21.2,16.2,28.4,-0.907674,-1.180339,-0.642835,,,-0.5,-0.866025403784439,-1.1567,0.0933,0.06,-4.6267,39.1,25.3,17.2,12.6,40.46666666666667,Dry
Baltata,1961,8,36.2,20.3,14.9,25.6,-1.333318,-1.377063,-1.452647,,,-0.866025403784438,-0.5,-0.6567,-0.0667,-1.29,-12.9633,59.6,22.7,21.2,13.6,44.96666666666667,Dry
Baltata,1961,9,19.7,15.7,9.6,21.4,-1.186933,-1.494115,-1.822254,,,-1.0,-0.0,-0.3367,-0.5167,-0.79,-25.4333,36.2,39.1,20.3,17.2,38.50000000000001,Dry
Baltata,1961,10,38.3,8.6,3.5,13.5,0.031445,-1.083944,-1.593845,,,-0.866025403784439,0.5,-1.2267,-1.2367,-1.3467,0.0967,19.7,59.6,15.7,21.2,31.400000000000002,Dry
Baltata,1961,11,17.9,4.8,-0.4,9.4,-8.4e-05,-0.501639,-1.322523,,,-0.5,0.866025403784438,0.7533,0.61,0.4567,-32.48,38.3,36.2,8.6,20.3,25.3,Normal
Baltata,1961,12,20.4,0.5,-3.5,3.9,0.540416,0.252799,-0.874012,-1.115879,,-0.0,1.0,1.2633,1.4767,0.7867,-17.7867,17.9,19.7,4.8,15.7,25.53333333333333,Normal
Baltata,1962,1,63.6,-2.4,-6.5,1.4,1.569618,0.924613,-0.11265,-0.897152,,0.5,0.866025403784439,0.67,0.5967,0.4333,26.9933,20.4,38.3,0.5,8.6,33.96666666666667,Normal
Baltata,1962,2,19.5,0.9,-3.4,4.2,0.475105,1.132158,0.443145,-1.191191,,0.866025403784439,0.5,1.91,1.6933,1.2467,-13.5833,63.6,17.9,-2.4,4.8,34.5,Wet
Baltata,1962,3,64.2,5.4,0.8,10.4,0.975068,1.321997,1.107606,-0.849882,,1.0,0.0,1.62,2.12,1.54,33.9,19.5,20.4,0.9,0.5,49.1,Wet
Baltata,1962,4,14.2,10.2,4.2,16.3,-0.691474,0.33444,0.885427,-0.842671,,0.866025403784439,-0.5,-0.74,-0.7967,-0.6,-24.2333,64.2,63.6,5.4,-2.4,32.63333333333333,Normal
Baltata,1962,5,40.0,16.3,11.2,22.4,-0.797322,-0.221307,0.640407,-0.812226,,0.5,-0.866025403784439,0.3433,1.2633,0.4133,-6.8167,14.2,19.5,10.2,0.9,39.46666666666667,Normal
